GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS918029155	2021-03-26 02:51:17.803781	33215	species	Canada Warbler	Cardellina canadensis			X					United States	US	Michigan	US-MI	Alcona	US-MI-001					Harrisville SP	L772826	H	44.6420327	-83.2979965	2001-06-27	07:00:00	obsr358645	S68795875	Traveling	P22	EBIRD	180	3.219		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS33796186	2018-08-05 12:46:08	33215	species	Canada Warbler	Cardellina canadensis			X					United States	US	Michigan	US-MI	Alcona	US-MI-001					1036 N. Lake Huron Shore Dr.	L349611	P	44.6865859	-83.2796251	2005-05-29		obsr89747	S2467952	Incidental	P20	EBIRD				2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS270028759	2014-11-09 01:08:05	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Negwegon SP	L3065713	P	44.8413131	-83.3193375	2005-05-25		obsr336721	S19643015	Incidental	P20	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS41716444	2017-08-16 04:01:31	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Alcona	US-MI-001					1036 N. Lake Huron Shore Dr.	L349611	P	44.6865859	-83.2796251	2007-05-19	08:00:00	obsr89747	S2960168	Stationary	P21	EBIRD	480			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS41716088	2018-08-05 12:48:32	33215	species	Canada Warbler	Cardellina canadensis			5					United States	US	Michigan	US-MI	Alcona	US-MI-001					1036 N. Lake Huron Shore Dr.	L349611	P	44.6865859	-83.2796251	2007-05-18	07:15:00	obsr89747	S2960155	Stationary	P21	EBIRD	750			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS205563388	2018-08-06 20:02:40	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			Alcona Dam	L2290068	P	44.5616096	-83.8052559	2012-07-29		obsr291596	S14745506	Incidental	P20	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS199633741	2018-08-06 20:03:25	33215	species	Canada Warbler	Cardellina canadensis			1				Female, Adult (1)	United States	US	Michigan	US-MI	Alcona	US-MI-001					Sturgeon Point, Light House	L2203089	P	44.7130459	-83.2738781	2013-05-30	10:20:00	obsr355604	S14301655	Traveling	P22	EBIRD	40	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1058850620	2021-03-19 08:41:38.846017	33215	species	Canada Warbler	Cardellina canadensis			X					United States	US	Michigan	US-MI	Alcona	US-MI-001					Sturgeon Point SP	L2193487	H	44.7132570	-83.2762384	2014-05-19		obsr1512380	S79848405	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS261937936	2021-03-19 08:41:38.846017	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Alcona	US-MI-001					Sturgeon Point SP	L2193487	H	44.7132570	-83.2762384	2014-06-30		obsr291596	S18960639	Incidental	P20	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS321481430	2021-03-19 08:41:38.846017	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Alcona	US-MI-001					sturgeon point state park	L2813930	P	44.7131960	-83.2733631	2015-05-20	12:41:00	obsr413691	S23547953	Traveling	P22	EBIRD	60	1.207		1	1		0	1	0				
