GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS288007226	2021-04-01 07:42:59.453876	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Harrisville	L196132	T	44.6564100	-83.2946700	2005-07-17		obsr167561	S21101648	Historical	P62	EBIRD		19.312			0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS350421958	2021-08-17 17:07:50.30124	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Lost Lake Woods Club	L1361937	P	44.7825916	-83.4302162	2015-05-29	07:00:00	obsr51455	S25614946	Traveling	P22	EBIRD	540	24.140		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS350420366	2021-03-24 15:25:57.986517	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Lost Lake Woods Club	L1361937	P	44.7825916	-83.4302162	2015-07-14	07:00:00	obsr51455	S25614821	Traveling	P22	EBIRD	540	24.140		1	0		0	1	0		Driving and walking trails at Lost Lake Woods Club. I tracked number of species, not number of individuals.		
URN:CornellLabOfOrnithology:EBIRD:OBS521758480	2021-08-06 10:57:01.624053	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			1–365 S McGregor Rd, Harrisville township US-MI (44.6549,-83.3625)	L6132740	P	44.6549250	-83.3625410	2017-07-29	09:09:00	obsr167561	S38371141	Stationary	P21	EBIRD	22			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS625617209	2021-08-06 10:57:01.624053	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			(44.713, -83.485)	L7492368	P	44.7128150	-83.4854106	2018-05-30	09:10:00	obsr603094	S46155917	Traveling	P22	EBIRD	110	4.828		2	1	G3245676	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS625642056	2021-08-06 10:57:01.624053	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			(44.713, -83.485)	L7492368	P	44.7128150	-83.4854106	2018-05-30	09:10:00	obsr580570	S46157603	Traveling	P22	EBIRD	110	4.828		2	1	G3245676	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS631317328	2018-08-06 20:24:47	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Harrisville, Michigan	L3365457	P	44.6459868	-83.3541942	2018-06-15	11:15:00	obsr580570	S46567694	Traveling	P22	EBIRD	40	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS635133361	2018-08-06 20:25:13	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Harrisville, Michigan	L3365457	P	44.6459868	-83.3541942	2018-06-27	14:20:00	obsr580570	S46844194	Traveling	P22	EBIRD	30	1.207		3	1	G3309822	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS631641563	2021-03-19 08:41:38.846017	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Harrisville, Michigan	L3365457	P	44.6459868	-83.3541942	2018-06-16	09:45:00	obsr580570	S46591065	Traveling	P22	EBIRD	49	2.012		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS635144417	2018-08-06 20:25:13	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Harrisville, Michigan	L3365457	P	44.6459868	-83.3541942	2018-06-27	14:20:00	obsr603094	S46845047	Traveling	P22	EBIRD	30	1.207		3	1	G3309822	0	1	0				
