GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS55799252	2021-08-06 10:29:06.86745	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Farm Unit	L752711	H	42.5499821	-86.1178436	2000-06-17		obsr115374	S4022907	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS55799315	2021-08-06 10:49:36.90149	32181	species	Henslow's Sparrow	Centronyx henslowii			X					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Allegan SGA (general)	L385489	H	42.5500875	-86.0747910	2000-06-21		obsr115374	S4022913	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS59957058	2021-03-31 03:23:18.836373	32181	species	Henslow's Sparrow	Centronyx henslowii			X					United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan State Game Area - Todd Farms	L621982	P	42.5534597	-86.1314392	2003-05-17		obsr165884	S4350730	Incidental	P20	EBIRD					0		0	1	0			Todd Farms - May Big Day - Steve Walker	
URN:CornellLabOfOrnithology:EBIRD:OBS151515670	2021-08-06 10:29:06.86745	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Allegan SGA (general)	L385489	H	42.5500875	-86.0747910	2003-05-17		obsr166861	S10657791	Incidental	P20	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1035915004	2020-12-25 22:07:06.005473	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Ivybrook Farm	L7951254	P	42.5701137	-85.8862996	2005-06-18		obsr2074108	S77982984	Incidental	P20	EBIRD					1	G6047810	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS151504461	2020-12-25 22:07:06.005473	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Ivybrook Farm	L7951254	P	42.5701137	-85.8862996	2005-06-18		obsr166861	S10657204	Incidental	P20	EBIRD					1	G6047810	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS779273118	2021-08-06 10:11:32.559443	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan State Game Area, Farm Unit, Stop 6	L9539414	P	42.5481600	-86.1179100	2006-06-02	06:48:00	obsr801911	S57713171	Stationary	P21	EBIRD	5			1	0		0	1	0		250 m radius point count		
URN:CornellLabOfOrnithology:EBIRD:OBS130972925	2015-04-09 13:45:49	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Farm Unit	L752711	H	42.5499821	-86.1178436	2008-05-12		obsr284583	S9180325	Incidental	P20	EBIRD				2	0		0	1	0			adults	
URN:CornellLabOfOrnithology:EBIRD:OBS102908742	2018-08-06 11:19:45	32181	species	Henslow's Sparrow	Centronyx henslowii			1				Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Farm Unit	L752711	H	42.5499821	-86.1178436	2009-04-29	09:00:00	obsr203441	S7225778	Stationary	P21	EBIRD	60			2	1	G527368	0	1	0		With Mom.	Visible and singing in the field across the road from the wetland.	
URN:CornellLabOfOrnithology:EBIRD:OBS176883058	2018-08-06 11:19:45	32181	species	Henslow's Sparrow	Centronyx henslowii			1				Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Farm Unit	L752711	H	42.5499821	-86.1178436	2009-04-29	09:00:00	obsr203409	S12620199	Stationary	P21	EBIRD	60			2	1	G527368	0	1	0			Visible and singing in the field across the road from the wetland.	
