GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS504483765	2019-05-08 07:43:46	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Alger	US-MI-003					Pictured Rocks NL - Sand Point	L4661843	P	46.4513471	-86.6069906	2017-05-25	09:13:00	obsr196130	S37137961	Traveling	P22	EBIRD	67	2.816		1	1		0	1	1			I observed this bird as it was moving along the edge of the road through thick brush underlying trees interspersed with sections of shrubless floodings where Northern Waterthrushes were singing.  It was an unmarked green khaki dorsally.  All sections of the ventral surfaces that I could see were yellow (throat, lower breast, and belly) and also unmarked.   The intersection of the lateral face with the chin and throat was bordered by a black triangular patch that was widest at its "start" from the base of the eye and narrowed as it descended.  It exhibited easily discernible yellow spectacles.  The most likely alternative would be Canada Warbler, but I had just observed this species and the bird in question was immediately perceptible as "different".  First, its dorsal surfaces were a greenish color, not a slightly bluish gray.  Secondly, the black border of the lateral lower face with the chin and throat were larger and bolder than in Canada Warbler, and lastly, it had yellow spectacles, not a yellowish supraloral connecting to a complete and distinct whitish eye ring.	
URN:CornellLabOfOrnithology:EBIRD:OBS135332477	2014-10-15 20:27:32	32906	species	Kentucky Warbler	Geothlypis formosa			1				Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Home	L827016	P	42.6420724	-86.2109613	2006-05-15	08:30:00	obsr203441	S9520746	Area	P23	EBIRD	60		2.8328	2	1	G527325	0	1	1		With Mom.	Singing male seen in the company of a male HOWA.	
URN:CornellLabOfOrnithology:EBIRD:OBS176882026	2014-10-15 20:27:32	32906	species	Kentucky Warbler	Geothlypis formosa			1				Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Home	L827016	P	42.6420724	-86.2109613	2006-05-15	08:30:00	obsr203409	S12620134	Area	P23	EBIRD	60		2.8328	2	1	G527325	0	1	1			Singing male seen in the company of a male HOWA.	
URN:CornellLabOfOrnithology:EBIRD:OBS205354006	2014-10-20 10:02:40	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Home	L827016	P	42.6420724	-86.2109613	2008-05-15	18:09:00	obsr203441	S14701293	Incidental	P20	EBIRD				1	0		0	1	1		Submitted from  BirdLog NA for Android v1.9.1		
URN:CornellLabOfOrnithology:EBIRD:OBS154381337	2021-03-31 03:23:18.836373	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Swan Creek at 116th Ave	L872592	H	42.5297300	-85.9770700	2012-05-26	07:00:00	obsr129459	S10844629	Traveling	P22	EBIRD	80	6.437		1	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS154949475	2018-08-06 20:02:03	32906	species	Kentucky Warbler	Geothlypis formosa			1	S 	C2	S 	Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--46th St (116th Ave to 118th Ave)	L1563763	H	42.5428956	-85.9949022	2012-05-29	10:10:00	obsr203441	S10882119	Traveling	P22	EBIRD	20	3.219		1	1		0	1	1			Heard loud, clear, steady "chury chury chury" song to the east with the backdrop of singing OVEN for comparison.	
URN:CornellLabOfOrnithology:EBIRD:OBS403792067	2021-03-24 15:26:36.567597	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Home	L827016	P	42.6420724	-86.2109613	2016-05-16	10:15:00	obsr264117	S29708475	Traveling	P22	EBIRD	105	0.402		3	1	G1763868	1	1	1			Found by Rick this morning. Photos, sitting at about eye level and singing (decreasingly throughout the morning). From Rick's house off of Fremont St, it was south of the powerline cut, about east of their Farmhouse that's off of Ferry St --(42.64154968232, -86.2112201750)	
URN:CornellLabOfOrnithology:EBIRD:OBS404113162	2021-03-24 15:26:36.567597	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Home	L827016	P	42.6420724	-86.2109613	2016-05-16	10:15:00	obsr130199	S29727905	Traveling	P22	EBIRD	105	0.402		3	1	G1763868	1	1	1			Found by Rick this morning. Photos, sitting at about eye level and singing (decreasingly throughout the morning). From Rick's house off of Fremont St, it was south of the powerline cut, about east of their Farmhouse that's off of Ferry St --(42.64154968232, -86.2112201750)	
URN:CornellLabOfOrnithology:EBIRD:OBS403784941	2016-05-25 12:20:21	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Home	L827016	P	42.6420724	-86.2109613	2016-05-16	09:04:00	obsr203441	S29708099	Traveling	P22	EBIRD	14	0.161		1	1		0	1	1		<br />Submitted from eBird Android 1.0.4	Singing and showing well for mobs. Photos to come by Manning's &/or Scholten.	
URN:CornellLabOfOrnithology:EBIRD:OBS846495454	2020-05-06 18:59:44	32906	species	Kentucky Warbler	Geothlypis formosa			1					United States	US	Michigan	US-MI	Berrien	US-MI-021		23			Warren Dunes SP--Floral Ln.	L837503	H	41.9213607	-86.5810794	2004-05-03	08:14:00	obsr506449	S62990003	Traveling	P22	EBIRD	120	0.966		1	0		0	1	1			Continuing	
