GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS726812524	2020-06-06 18:38:26	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Alger	US-MI-003		12			Pictured Rocks NL--Sand Point Marsh Trail	L1223261	H	46.4466103	-86.5980148	2018-06-07	18:10:00	obsr152331	S54031889	Traveling	P22	EBIRD	135	0.966		2	1		0	1	1		with Andrea Chynoweth		
URN:CornellLabOfOrnithology:EBIRD:OBS778311988	2020-04-11 11:59:09	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Alger	US-MI-003		12			AuTrain - River	L4651996	P	46.4323557	-86.8258953	2019-06-23	17:00:00	obsr196130	S57635538	Traveling	P22	EBIRD	45	0.805		1	0		0	1	1			Initially found by Ryne Rutherford in the morning.  Same location (or close to) within this marshy wetland "braidwork" portion of the AuTrain River -  calling repeatedly as it was reported to be this morning, its soft coocoocoo "song".  Similar to Black-billed Cuckoo, but more back of the throat sounding.	
URN:CornellLabOfOrnithology:EBIRD:OBS778159080	2019-06-24 07:17:07	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Alger	US-MI-003		12			Au Train River, Munising US-MI (46.4283,-86.8279)	L9521182	P	46.4283190	-86.8278770	2019-06-23	10:29:00	obsr309839	S57623970	Traveling	P22	EBIRD	220	3.219		1	1		0	1	1			Called many times from extensive wire sedge wetland. A low pitched even ho-ho-ho-ho with long pauses repeated many times over the period of an hour.	
URN:CornellLabOfOrnithology:EBIRD:OBS779234060	2021-04-01 07:43:50.546539	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Alger	US-MI-003		12			AuTrain - River - LEBI area	L9571257	P	46.4270989	-86.8269092	2019-06-26	08:35:00	obsr196130	S57709921	Traveling	P22	EBIRD	114	0.644		1	1		0	1	1			Continuing bird.  Calling from from an island of shrubs, sedges, and cattails that is close to the south bank of a bend in the AuTrain River.  This is directly south of the spot at which it was first reported on eBird by Ryne Rutherford.  His eBird map indicating this initial spot is at   http://maps.google.com/?ie&#61;UTF8&t&#61;p&z&#61;13&q&#61;46.428319,-86.827877&ll&#61;46.428319,-86.827877.  ----The googoogoogoo call this bird was giving is similar to that which can be given by Black-billed Cuckoo, but is lower in pitch and "throatier".----Getting to this bird requires the use of a kayak, canoe, or other small boat.	
URN:CornellLabOfOrnithology:EBIRD:OBS778931840	2019-06-25 17:41:05	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Alger	US-MI-003		12			21 Au Train River View, Au Train, Michigan, US (46.427, -86.829)	L9533784	P	46.4272830	-86.8291411	2019-06-25	14:01:00	obsr178125	S57685181	Traveling	P22	EBIRD	90	1.207		1	0		0	1	1			Continuing bird found on the Au Train River by Ryne Rutherford. Calling soft coocoocoo as noted by Scott Hickman.	
URN:CornellLabOfOrnithology:EBIRD:OBS94847225	2019-07-20 09:49:16	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Saugatuck Dunes SP	L576753	H	42.7015506	-86.1950397	2009-06-17	10:00:00	obsr203441	S6607196	Traveling	P22	EBIRD	180	6.437		2	1		0	1	0		With Marde Clardy.		
URN:CornellLabOfOrnithology:EBIRD:OBS73172083	2014-11-22 22:17:16	7149	species	Least Bittern	Ixobrychus exilis			3					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River, Saugatuck	L761548	P	42.6388839	-86.1686468	2009-07-27	08:00:00	obsr192808	S5201006	Stationary	P21	EBIRD	75			1	0		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS203068591	2015-03-19 01:07:19	7149	species	Least Bittern	Ixobrychus exilis			1	H 	C2	H 		United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Webster Marsh, Kalamazoo River	L2257290	P	42.6424800	-86.1713800	2013-06-30	18:29:00	obsr203441	S14541076	Traveling	P22	EBIRD	109	1.609		2	1	G653202	0	1	0		Kayaking with Chace Scholten. Submitted from  BirdLog NA for Android v1.7	In flight above cattails.	
URN:CornellLabOfOrnithology:EBIRD:OBS200979609	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Newport Harbor	L831748	H	42.6403045	-86.1763287	2013-06-10	06:31:00	obsr264117	S14386405	Stationary	P21	EBIRD	58			2	1	G640575	0	1	0			<a href="http://www.flickr.com/photos/rissa40/9006008691/" title="IMG_4461 by rickbrigham, on Flickr"><img src="http://farm8.staticflickr.com/7282/9006008691_9f45d2f05b.jpg" alt="IMG_4461" /></a>	
URN:CornellLabOfOrnithology:EBIRD:OBS203068932	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Tyler Bayou	L1642156	H	42.6477887	-86.1812675	2013-06-30	20:20:00	obsr203441	S14543940	Traveling	P22	EBIRD	90	3.219		2	1	G653201	0	1	0		Submitted from  BirdLog NA for Android v1.7	Same bird we had earlier in the afternoon still singing. Heard only.	
URN:CornellLabOfOrnithology:EBIRD:OBS203172601	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Tyler Bayou	L1642156	H	42.6477887	-86.1812675	2013-06-30	20:20:00	obsr264117	S14552481	Traveling	P22	EBIRD	90	3.219		2	1	G653201	0	1	0			Same bird we had earlier in the afternoon still singing. Heard only.	
URN:CornellLabOfOrnithology:EBIRD:OBS203011741	2021-04-01 07:44:03.049811	7149	species	Least Bittern	Ixobrychus exilis			1	S 	C2	S 	Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Tyler Bayou	L1642156	H	42.6477887	-86.1812675	2013-06-30	14:48:00	obsr203441	S14539732	Traveling	P22	EBIRD	163	3.219		2	1	G653200	0	1	0		Kayaking with Chace Scholten. Submitted from  BirdLog NA for Android v1.7	Singing from cattails. Heard only.	
URN:CornellLabOfOrnithology:EBIRD:OBS200963270	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Newport Harbor	L831748	H	42.6403045	-86.1763287	2013-06-10	06:31:00	obsr203441	S14385149	Stationary	P21	EBIRD	58			2	1	G640575	0	1	0		With Chace Scholten. Submitted from  BirdLog NA for Android v1.7	<a href="http://www.flickr.com/photos/rissa40/9006008691/" title="IMG_4461 by rickbrigham, on Flickr"><img src="http://farm8.staticflickr.com/7282/9006008691_9f45d2f05b.jpg" alt="IMG_4461" /></a>	
URN:CornellLabOfOrnithology:EBIRD:OBS203172588	2021-04-01 07:44:03.049811	7149	species	Least Bittern	Ixobrychus exilis			1	S 	C2	S 	Male, Adult (1)	United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Tyler Bayou	L1642156	H	42.6477887	-86.1812675	2013-06-30	14:48:00	obsr264117	S14552480	Traveling	P22	EBIRD	163	3.219		2	1	G653200	0	1	0			Singing from cattails. Heard only.	
URN:CornellLabOfOrnithology:EBIRD:OBS203172659	2015-03-19 01:07:19	7149	species	Least Bittern	Ixobrychus exilis			1	H 	C2	H 		United States	US	Michigan	US-MI	Allegan	US-MI-005	US-MI_1590	23			Allegan SGA--Webster Marsh, Kalamazoo River	L2257290	P	42.6424800	-86.1713800	2013-06-30	18:29:00	obsr264117	S14552482	Traveling	P22	EBIRD	109	1.609		2	1	G653202	0	1	0			In flight above cattails.	
URN:CornellLabOfOrnithology:EBIRD:OBS207021731	2021-03-26 02:51:31.718374	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Wade's Bayou Park	L826976	H	42.6433667	-86.1974859	2013-08-07	18:55:00	obsr203441	S14878925	Stationary	P21	EBIRD	50			1	1		0	1	0		Submitted from  BirdLog NA for Android v1.9.1		
URN:CornellLabOfOrnithology:EBIRD:OBS208055897	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Tyler Bayou	L1642156	H	42.6477887	-86.1812675	2013-08-18	19:36:00	obsr203441	S14955642	Traveling	P22	EBIRD	120	5.633		1	1		0	1	0		Submitted from  BirdLog NA for Android v1.9.2		
URN:CornellLabOfOrnithology:EBIRD:OBS252880121	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Newport Harbor	L831748	H	42.6403045	-86.1763287	2014-05-10	17:35:00	obsr203441	S18347620	Stationary	P21	EBIRD	8			2	1	G897162	0	1	0		NAMC stop with Chace Scholten.	Brief view in flight headed away from us. Buffy upperwing coverts contrasting with dark primaries and secondaries. Rick only.	
URN:CornellLabOfOrnithology:EBIRD:OBS265314303	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Morrison Bayou	L827032	H	42.6387576	-86.1470604	2014-07-27	06:08:00	obsr203441	S19236183	Traveling	P22	EBIRD	144	2.012		2	1	G964386	0	1	0		With Chace Scholten by kayak. Submitted from  BirdLog NA for Android v1.9.5		
URN:CornellLabOfOrnithology:EBIRD:OBS265318065	2021-03-30 17:30:02.153395	7149	species	Least Bittern	Ixobrychus exilis			2					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Kalamazoo River--Morrison Bayou	L827032	H	42.6387576	-86.1470604	2014-07-27	06:08:00	obsr264117	S19236460	Traveling	P22	EBIRD	144	2.012		2	1	G964386	0	1	0				
