GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS780618155	2019-07-01 21:38:20	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Road, Glennie, Michigan, US (44.515, -83.604)	L9560544	P	44.5149498	-83.6036075	2019-06-30	10:56:00	obsr274445	S57819815	Stationary	P21	EBIRD	20			2	1	G4325546	1	1	1			Pics to follow  black over bill 	
URN:CornellLabOfOrnithology:EBIRD:OBS780502058	2019-07-01 21:38:20	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			Huron-Manistee National Forests Glennie US-MI (44.5149,83.6037)	L9567726	P	44.5147645	-83.6035152	2019-06-30	10:56:00	obsr413691	S57810741	Stationary	P21	EBIRD	20			2	1	G4325546	1	1	1		Joining Matt Hegwood		
URN:CornellLabOfOrnithology:EBIRD:OBS780532126	2019-07-02 18:37:16	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			Huron-Manistee National Forests, Glennie US-MI (44.5149,-83.6037)	L9561069	P	44.5148920	-83.6037340	2019-06-30	11:57:00	obsr114260	S57812962	Stationary	P21	EBIRD	15			1	1		1	1	1			Thanks Phil and Matt, photos: slightly smaller than a robin but chunkier, dark gray back (darker than Northern Shrike) relatively short bill compared to Northern Shrike, wide black facial mask	
URN:CornellLabOfOrnithology:EBIRD:OBS780738392	2019-06-30 23:27:44	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Road, Glennie, Michigan, US (44.519, -83.604)	L9564720	P	44.5188283	-83.6037288	2019-06-30	15:48:00	obsr264117	S57829651	Traveling	P22	EBIRD	45	0.322		1	1		0	1	1			Found this morning. Photos to be sent to MBRC. Perched on snag at 44.515157,-83.603325	
URN:CornellLabOfOrnithology:EBIRD:OBS782329625	2021-03-19 08:41:38.846017	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Road	L9593628	P	44.5152147	-83.6033165	2019-07-05	09:15:00	obsr319036	S57958936	Traveling	P22	EBIRD	105	1.046		1	1		1	1	1			Continuing	
URN:CornellLabOfOrnithology:EBIRD:OBS781822044	2021-03-19 08:41:38.846017	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Road and Forest Service 4431	L9582670	P	44.5144250	-83.6037710	2019-07-04	10:30:00	obsr346927	S57916282	Traveling	P22	EBIRD	85	19.312		3	1	G4335011	1	1	1			Continuing. Pics. 	
URN:CornellLabOfOrnithology:EBIRD:OBS781278790	2019-07-02 23:34:09	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Rd.& Forest Service 4431	L9568520	P	44.5157078	-83.6036852	2019-07-02	13:30:00	obsr580570	S57872459	Traveling	P22	EBIRD	80	3.219		2	1	G4330505	0	1	1			Continuing bird. Photos if needed.	
URN:CornellLabOfOrnithology:EBIRD:OBS785063170	2019-07-15 17:55:43	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			(44.515, -83.604)	L9583256	P	44.5152103	-83.6036445	2019-07-05	10:43:00	obsr338406	S58174344	Traveling	P22	EBIRD_BCN	65	0.177		1	1		0	1	1			Continuing on tallest dead pine to east at 9:00 to the outside	
URN:CornellLabOfOrnithology:EBIRD:OBS781282089	2019-07-02 23:34:09	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Rd.& Forest Service 4431	L9568520	P	44.5157078	-83.6036852	2019-07-02	13:30:00	obsr603094	S57872736	Traveling	P22	EBIRD	80	3.219		2	1	G4330505	0	1	1			Continuing bird. Photos if needed.	
URN:CornellLabOfOrnithology:EBIRD:OBS783045017	2019-07-08 19:14:20	20282	species	Loggerhead Shrike	Lanius ludovicianus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001	US-MI_2732	12			New Pine River Rd. north of FS4431 Trail	L9605837	P	44.5151649	-83.6016799	2019-07-06	11:20:00	obsr526688	S58014018	Traveling	P22	EBIRD	147	0.805		2	1		0	1	1			Continuing .2 miles north of where it was first observed by Phil and Matt.  The LOSH was perched at the top of a snag located approx. 75 yards from the road as we arrived and then flew NE less than 20 seconds later.  We stayed in the area for another 2.5 hours hoping to obtain photos but the LOSH did not return.  I spoke to another birder who had observed the LOSH just minutes before we got there, nearer to the original observation spot.	
