GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS545824305	2021-03-19 08:41:38.846017	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-26	18:00:00	obsr603094	S40232080	Stationary	P21	EBIRD	60			4	1	G2708055	0	1	1			Continuing	
URN:CornellLabOfOrnithology:EBIRD:OBS545824437	2021-03-19 08:41:38.846017	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-20	18:00:00	obsr603094	S40232098	Traveling	P22	EBIRD	80	4.828		3	1	G2709478	0	1	1			Moth like flight, big round face and broad rounded wings.	
URN:CornellLabOfOrnithology:EBIRD:OBS545585338	2021-03-19 08:41:38.846017	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-26	18:00:00	obsr43361	S40214009	Stationary	P21	EBIRD	60			4	1	G2708055	0	1	1			Continuing	
URN:CornellLabOfOrnithology:EBIRD:OBS544570077	2021-03-19 08:41:38.846017	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-26	18:00:00	obsr580570	S40136834	Stationary	P21	EBIRD	60			4	1	G2708055	0	1	1			Continuing	
URN:CornellLabOfOrnithology:EBIRD:OBS543388305	2017-10-21 19:49:29	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-21	18:00:00	obsr580570	S40053351	Traveling	P22	EBIRD	65	4.828		4	1	G2693663	0	1	1			Moth like flight, big round face and broad  wings	
URN:CornellLabOfOrnithology:EBIRD:OBS545825348	2017-10-31 15:00:47	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-21	18:00:00	obsr603094	S40232162	Traveling	P22	EBIRD	65	4.828		4	1	G2693663	0	1	1			Moth like flight, big round face and broad  wings	
URN:CornellLabOfOrnithology:EBIRD:OBS546914488	2017-11-04 22:21:28	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-21	18:00:00	obsr345976	S40311440	Traveling	P22	EBIRD	65	4.828		4	1	G2693663	0	1	1			Moth like flight, big round face and broad  wings	
URN:CornellLabOfOrnithology:EBIRD:OBS543416601	2021-03-19 08:41:38.846017	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			Black River Rd	L5949990	P	44.8154745	-83.3162141	2017-10-20	18:00:00	obsr580570	S40055135	Traveling	P22	EBIRD	80	4.828		3	1	G2709478	0	1	1			Moth like flight, big round face and broad rounded wings.	
URN:CornellLabOfOrnithology:EBIRD:OBS571667247	2018-02-02 20:47:48	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			(44.681, -83.289)	L6782100	P	44.6811536	-83.2892048	2018-01-27	08:26:00	obsr690553	S42280912	Incidental	P20	EBIRD				2	0	G2897528	0	1	1		With kaley	Flew across rd about 20 yards ahead, light under wings with dark carpal, looked like wearing a bib of darker brown feathers. Chunkier but smaller than barred owl, slow stiff wing beats that resembled a fluttering moth. Short eared have been seen semi regularly in this area.-	
URN:CornellLabOfOrnithology:EBIRD:OBS571529045	2018-02-02 20:47:48	8829	species	Short-eared Owl	Asio flammeus			1					United States	US	Michigan	US-MI	Alcona	US-MI-001		12			(44.681, -83.289)	L6782100	P	44.6811536	-83.2892048	2018-01-27	08:26:00	obsr885031	S42269451	Incidental	P20	EBIRD				2	0	G2897528	0	1	1		With kaley	Flew across rd about 20 yards ahead, light under wings with dark carpal, looked like wearing a bib of darker brown feathers. Chunkier but smaller than barred owl, slow stiff wing beats that resembled a fluttering moth. Short eared have been seen semi regularly in this area.-	
