GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS464310265	2017-02-20 06:03:47	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Alger	US-MI-003		12			Shingleton - South wetland	L5093111	P	46.3387725	-86.4273405	2008-05-13		obsr196130	S34251410	Historical	P62	EBIRD				2	0		0	1	1			I submitted documentation of this bird to the seasonal compiler for Michigan Birds and Natural History which was accepted (see Michigan Birds and Natural History 2008, Vol. 15, No. 4, p. 163).	
URN:CornellLabOfOrnithology:EBIRD:OBS436434721	2016-10-16 22:28:52	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Allegan	US-MI-005		23			Saugatuck Harbor Natural Area	L884423	H	42.6713295	-86.2098885	2016-10-06	10:07:00	obsr203441	S31925853	Traveling	P22	EBIRD	94	0.966		1	1		0	1	1		YERA flushed at my feet at the south end of the third wetland. Dropped back into wetland 10 feet further. I could not relocate after 20 mins of searching. Small rail (approx size of a Ground Dove) with conspicuous all white secondaries, back boldly striped black & buff, short tailed, dangling feet. I was only privileged to view its back as it flew away from me, so I did not observe its underparts. <br />Submitted from eBird Android 1.3	Flushed at my feet from the grass at the south end of the wetland. Dropped back into wetland 10 feet further. I could not relocate after 20 mins of searching. Small rail (approx size of a Ground Dove) with conspicuous white secondaries; back boldly striped black & buff with fine white cross hatching; short tailed; dangling feet. I was only privileged to view it from behind as it flew away from me, so I did not observe its underparts. No time for photos. First ever sight record for me, although I have had multiple by ear in the UP.	
URN:CornellLabOfOrnithology:EBIRD:OBS353088960	2015-11-28 22:39:52	5491	species	Yellow Rail	Coturnicops noveboracensis			2					United States	US	Michigan	US-MI	Alpena	US-MI-007		12			Squaw Bay	L1499166	H	45.0064838	-83.4641268	2015-09-21	08:00:00	obsr102121	S25811561	Historical	P62	EBIRD	120	1.609		2	0		0	1	1		with Keith Saylor	While looking for Nelson's Sparrows out in the marsh with Keith Saylor we kicked up two small rails, smaller than Soras that had notable white wing patches on the trailing edge.  The rails had short bills and yellow stripes on a dark back.  They were both in the sedges along the mud flats. no vocalizations heard.----Sora Rail was eliminated due to the white secondaries and smart more dramatic yellow striping to the back and Virginia Rail was eliminated as both birds had very short yellow bills.  We were sure there were two present as one was kicked up just after the other and they flew off in different directions.  Keith also saw the birds well and agreed with my identification.	
URN:CornellLabOfOrnithology:EBIRD:OBS1043991754	2021-01-10 17:35:42.33096	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Berrien	US-MI-021	US-MI_3598	23			Warren Dunes SP, north trails/Tanner's Creek	L2770536	P	41.9368883	-86.5803874	2004-10-15	08:30:00	obsr426379	S78639040	Historical	P62	EBIRD				1	0		0	1	1		Shorebird check, Weko Beach and Warren Dunes.  Weather: Cloudy, windy and cold.	Small round-bodied bird with a short tail and white secondaries flew past my location and landed in some small willow trees nearby.  It had a buffy face with a dark eye-line and dark crown, a short dark bill, the back had heavy dark brown and buffy streaks and underside was buffy with light streaks.  This bird appeared exhausted but quickly hid in the dune vegetation.--The larger sora has longer legs and larger bill.	
URN:CornellLabOfOrnithology:EBIRD:OBS213377769	2018-08-05 13:14:38	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Charlevoix	US-MI-029	US-MI_3773	12			The Lawson's and Surrounding Area (Private)	L1460337	P	45.3444709	-85.1501555	2013-10-07	18:45:00	obsr307354	S15348107	Traveling	P22	EBIRD	42	1.609		2	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS669826531	2021-03-19 09:43:09.626597	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Cheboygan	US-MI-031					Cheboygan Marsh/Gordon Turner Park	L3133553	H	45.6561882	-84.4709344	2008-05-02	07:00:00	obsr102121	S49414951	Traveling	P22	EBIRD	45	0.805		1	1		0	1	1			heard only,  In sedges in west edge of marsh a persistent and repeated "click-click (pause) click-click-click" .   This phrase of 2-3 unique to Yellow Rail.  I had heard Yellow Rails a couple times before this but was not expecting to hear one hear and in the bright morning!  These are all the details I have in my notes.	
URN:CornellLabOfOrnithology:EBIRD:OBS671575266	2021-06-07 11:26:06.512253	5491	species	Yellow Rail	Coturnicops noveboracensis			4					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Trout Lake	L7619204	H	46.1861295	-85.0429559	2001-06-09	20:00:00	obsr43843	S49549507	Traveling	P22	EBIRD	90	1.609		5	1	G6856151	0	1	1			Our party went to a marsh near Trout Lake where Yellow Rails were known to be. We got there well after dark and waded into the marsh. There was standing water in much of the marsh with small dry islands interspersed throughout it. We were able to surround one calling bird the get it to flush so that we could see it well with our flashlights. We were able to see the white secondary patches as it flew away. Of course, it had been giving the Yellow Rail vocalization at our feet before it flew. Black flies were thick.	
URN:CornellLabOfOrnithology:EBIRD:OBS1177683566	2021-06-07 11:26:06.512253	5491	species	Yellow Rail	Coturnicops noveboracensis			4					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Trout Lake	L7619204	H	46.1861295	-85.0429559	2001-06-09	20:00:00	obsr2503145	S89789996	Traveling	P22	EBIRD	90	1.609		5	1	G6856151	0	1	1			Our party went to a marsh near Trout Lake where Yellow Rails were known to be. We got there well after dark and waded into the marsh. There was standing water in much of the marsh with small dry islands interspersed throughout it. We were able to surround one calling bird the get it to flush so that we could see it well with our flashlights. We were able to see the white secondary patches as it flew away. Of course, it had been giving the Yellow Rail vocalization at our feet before it flew. Black flies were thick.	
URN:CornellLabOfOrnithology:EBIRD:OBS239788171	2021-08-06 10:57:01.624053	5491	species	Yellow Rail	Coturnicops noveboracensis			2					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Munuscong WMA--Munuscong River mouth	L1542347	H	46.2115331	-84.2635304	2004-06-03	20:45:00	obsr309839	S17441833	Traveling	P22	EBIRD	120	2.000		2	0		0	1	1		Surveys with MNFI	heard calling in marsh	
URN:CornellLabOfOrnithology:EBIRD:OBS127437544	2019-03-30 14:50:03	5491	species	Yellow Rail	Coturnicops noveboracensis			X					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Manuscong Refuge	L1285769	P	46.1336942	-84.1140747	2010-06-05		obsr280086	S8903992	Incidental	P20	EBIRD					0	G1883612	0	1	1			flew up out of a small marsh right in front of us - good light and excellent looks	
URN:CornellLabOfOrnithology:EBIRD:OBS423374831	2018-06-23 18:58:13	5491	species	Yellow Rail	Coturnicops noveboracensis			X					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Manuscong Refuge	L1285769	P	46.1336942	-84.1140747	2010-06-05		obsr649385	S31095798	Incidental	P20	EBIRD					0	G1883612	0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS223156421	2017-08-16 08:31:03	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Munuscong WMA--Munuscong River mouth	L1542347	H	46.2115331	-84.2635304	2012-05-26		obsr353400	S16124828	Incidental	P20	EBIRD					0	G1905897	0	1	1			Caught, banded, and released.  Territorial male.	
URN:CornellLabOfOrnithology:EBIRD:OBS426939297	2017-08-16 08:31:03	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Munuscong WMA--Munuscong River mouth	L1542347	H	46.2115331	-84.2635304	2012-05-26		obsr97944	S31370407	Incidental	P20	EBIRD					0	G1905897	0	1	1			Caught, banded, and released.  Territorial male.	
URN:CornellLabOfOrnithology:EBIRD:OBS426904759	2017-08-16 08:31:03	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Munuscong WMA--Munuscong River mouth	L1542347	H	46.2115331	-84.2635304	2012-05-26		obsr409279	S31366323	Incidental	P20	EBIRD					0	G1905897	0	1	1			Caught, banded, and released.  Territorial male.	
URN:CornellLabOfOrnithology:EBIRD:OBS624513632	2021-08-06 10:38:58.589964	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033	US-MI_3772	12			Munuscong WMA (Munuscong Potholes)	L1640836	H	46.1874469	-84.3106817	2018-05-27	16:52:00	obsr141382	S46079755	Traveling	P22	EBIRD	82	1.841		2	1	G3244039	1	1	1			**previously reported bird. Heard numerous ticking bouts coming from sedge mats close to road—not seen. Recording obtained, will be uploaded shortly.	
URN:CornellLabOfOrnithology:EBIRD:OBS624062733	2021-08-06 09:57:56.667981	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033	US-MI_3772	12			Munuscong WMA (Munuscong Potholes)	L1640836	H	46.1874469	-84.3106817	2018-05-26	18:56:00	obsr352134	S46051121	Traveling	P22	EBIRD	11	1.935		1	0	G3841831	0	1	1			Heard “type writer” call numerous times.	
URN:CornellLabOfOrnithology:EBIRD:OBS622864725	2021-08-06 10:38:58.589964	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033		12			Drummond Island US-MI	L7457524	P	45.9936280	-83.8701050	2018-05-23	15:20:00	obsr134719	S45973154	Incidental	P20	EBIRD				1	0		0	1	1			Heard calling multiple times while conducting anuran surveys. Heard in marsh just northeast of Paw Point about 300 m west of the road. 	
URN:CornellLabOfOrnithology:EBIRD:OBS708486347	2021-08-06 10:46:59.017905	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033	US-MI_3772	12			Munuscong WMA (Munuscong Potholes)	L1640836	H	46.1874469	-84.3106817	2018-05-26	18:56:00	obsr1109283	S52534219	Traveling	P22	EBIRD	11	1.935		1	0	G3841831	0	1	1			Heard “type writer” call numerous times.	
URN:CornellLabOfOrnithology:EBIRD:OBS624830115	2021-08-06 10:32:40.373379	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033	US-MI_3772	12			Munuscong WMA (Munuscong Potholes)	L1640836	H	46.1874469	-84.3106817	2018-05-28	10:04:00	obsr137062	S46100005	Traveling	P22	EBIRD	96	2.095		2	1	G3240168	0	1	1			Possibly 2 - clear typewriter calls	
URN:CornellLabOfOrnithology:EBIRD:OBS626177961	2021-08-06 10:57:01.624053	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033	US-MI_3772	12			Munuscong WMA (Munuscong Potholes)	L1640836	H	46.1874469	-84.3106817	2018-05-27	16:52:00	obsr996637	S46196047	Traveling	P22	EBIRD	82	1.841		2	1	G3244039	1	1	1			**previously reported bird. Heard numerous ticking bouts coming from sedge mats close to road—not seen. Recording obtained, will be uploaded shortly.	
URN:CornellLabOfOrnithology:EBIRD:OBS630231629	2021-08-06 10:32:40.373379	5491	species	Yellow Rail	Coturnicops noveboracensis			1					United States	US	Michigan	US-MI	Chippewa	US-MI-033	US-MI_3772	12			Munuscong WMA (Munuscong Potholes)	L1640836	H	46.1874469	-84.3106817	2018-05-28	08:30:00	obsr229323	S46485668	Traveling	P22	EBIRD	84	1.030		14	1	G3276703	0	1	1			Heard giving mechanical ticking calls. Along west side of Gray Rd in wet meadows. In the company of-- several singing Sedge Wrens.	
